vehiculo,nombre,posicion,stock_estado,ubicacion,precio,ultimo_precio,venta,nota,observaciones
116I 2006,Módulo Confort,,DISPONIBLE,SANTIAGO,100000.0,90000.0,,,
116I 2006,Módulo Frm,,VENDIDO,SANTIAGO,90000.0,80000.0,,,
116I 2006,Motor De Calefacción,,DISPONIBLE,SANTIAGO,55000.0,50000.0,,,
116I 2006,Motor De Partida,,DISPONIBLE,SANTIAGO,70000.0,60000.0,,,
116I 2006,Motor Limpiaparabrisas Con Varillaje,,DISPONIBLE,SANTIAGO,47600.0,40000.0,,,
116I 2006,Motor Limpiaparabrisas,Trasera,DISPONIBLE,SANTIAGO,35000.0,30000.0,,DE PORTALÓN,
116I 2006,Motor Malo,,NO DISPONIBLE,N/A,,,,,"Termino especial ""malo"""
116I 2006,Múltiple De Admisión,,DISPONIBLE,SANTIAGO,100000.0,80000.0,,,
116I 2006,Muñón Con Maza,Delantera Izquierda,VENDIDO,SANTIAGO,70000.0,65000.0,,,
116I 2006,Muñón Con Maza,Delantera Derecha,DISPONIBLE,SANTIAGO,70000.0,65000.0,,,
116I 2006,Muñon Con Maza,Trasera Izquierda,VENDIDO,SANTIAGO,60000.0,55000.0,,,
116I 2006,Muñon Con Maza,Trasera Derecha,VENDIDO,SANTIAGO,60000.0,55000.0,,,
